营业部名,         电话,         地址 
中信证券股份有限公司, 010-56018088,    亮马桥路48号 
天风证券, 010-59833150|010-59833154,    佟麟阁路36号 
中国证券登记结算有限责任公司, 010-50938888, 北京市西城区太平桥大街17号 
首创证券有限责任公司, (010)59366000, 德胜门外大街115号 
中信建投证券东直门南大街证券营业部, (010)64172878,   东直门南大街8号 
平安证券(东花市营业部), 010-67172198, 北京市东城区北花市大街6-8号 
中国银河证券(北京学院南路证券营业部), (010)62276511, 学院南路34号2号楼1-3层 
国信证券(北京三里河路营业部),  010-95536, 三里河路13号中国建筑文化中心北座10-12层 
中信建投证券公司, (010)82349798,18500226854, 朝阳门内大街188号鸿安国际大厦 
宏源证券金融大街证券营业部, (010)88085820, 北京市西城区太平桥大街19号 
银华基金管理有限公司, 010-58163000, 东长安街1号东方广场C2座1002-1008 
东方基金, 010-66295888, 北京市西城区锦什坊街28号东北证券大厦1-4层(金融大街159中学旁边) 
华泰证券(雍和宫证券营业部), (010)84273912, 安定门东大街28号雍和大厦F座5层501 
山西证券(北京证券营业部), (010)62235588, 北京市海淀区高粱桥斜街13号院甲33号 
中信建投证券北京三里河证券营业部, (010)58739666, 北京市海淀区三里河路39号 
国泰君安证券(金融街证券营业部), (010)59828855, 金融大街28号院2-3盈泰中心10层 
信达证券古城路营业部, (010)68831406,    八角西街68号 
华泰证券(月坛南街营业部), (010)68019696, 月坛南街甲12号万丰怡和商务会馆3层 
中信证券(北京北三环中路营业部), (010)62063595, 海淀区北三环中路43-3号(近北太平庄桥) 
华泰证券(苏州街证券营业部), 010-82629933, 中关村苏州街29号维亚大厦 
国泰君安证券(北京德外大街营业部), 010-82263966,010-82263977, 北京市西城区德外大街13号院1号楼合生财富广场A109-A 
招商证券(车公庄西路证券营业部), (010)68418114, 车公庄西路甲19号华通大厦A座3层 
招商证券(上地农大南路证券营业部), (010)62667596, 农大南路1号院2号楼5层办公B-522 
中信证券总部-营业部, (010)60837507, 朝阳区亮马桥路48号(中信证券大厦) 
中国银河证券(北京黄寺大街证券营业部), 010-58443761,    黄寺大街21号 
华泰证券(西三环北路证券营业部), 010-68488760, 西三环北路辅路72号世纪经贸大厦A座1层 
光大证券(东中街证券营业部), (010)64182868, 东中街29号东环广场B座2层 
华泰证券(北京广渠门内大街证券营业部), 15242094558, 广渠门内大街43号雍贵中心C座2层 
招商证券(北京朝外大街证券营业部), (010)65336621, 北京市朝阳区朝阳门外大街6号新城国际5号楼1-5层(近金桐东路) 
招商证券(北京安立路证券营业部), (010)62073538,     安立路甲56 
招商证券(知春东里证券营业部), (010)82127093,   知春东里15号楼 
海通证券知春路营业部, 010-82674988, 北京市海淀区知春路甲63号卫星大厦5层 
招商证券(颐和园路营业部), (010)62644567, 北京市海淀区颐和园路1号北京资源燕园宾馆一楼、二楼 
中国银河证券（北京金融街证券营业部）, 010-58872888,58872678, 太平桥大街111号3-4层 
民生证券北蜂窝路营业部, 010-63980441,  北蜂窝路周黑鸭西侧 
中信证券(呼家楼营业部), (010)57602593,      光华路9号 
中国银河证券(北京中关村大街证券营业部), 010-62512318, 中关村南大街甲18号院1-4号楼D座03-3D 
